vname,vimg,vurl
Passengers (2016),https://image.tmdb.org/t/p/w185_and_h278_bestv2/5gJkVIVU7FDp7AfRAbPSvvdbre2.jpg,etc:utb-Trailer/7BWWWQzTpNU|dnv:LeIcnu9QtDs%3d|etv:77380|zmv:passengers-2016|flm:32086/Passengers--2016--fkz|shd:6090
Resident Evil-The Final Chapter (2016),http://14tv.com/upload/2017-02-25/c261c333-b0af-4d8e-8e5c-a78edb726491.jpg,etc:utb-Trailer/79Sd4GtOXuI|dnv:AvBFNwwY1Sw%3d|etv:77436|shd:6944|zmv:resident-evil-the-final-chapter-2016|lmv:tt106568/watch-online-resident-evil-the-final-chapter|flm:32397/Resident-Evil--The-Final-Chapter--2016--fkz
Oscar Nominated Short Films 2017,http://www.solarmovie.fm/upload/movie/201702/the-oscar-nominated-short-films-2017-animation.jpg,zmv:the-oscar-nominated-short-films-2017-animation-2017
A dogs purpose,http://images.losmovies.cc/movie/a_dogs_purpose_2017.jpg,etc:utb-Trailer/1jLOOCADTGs|shd:7253|zmv:a-dogs-purpose-2017|flm:32669/A-Dogs-Purpose--2017--fkz
一路顺风 2017,http://14tv.com/upload/2017-02-26/3d9e4503-cc43-4f54-aca8-52243e020f42.jpg,etc:utb-Trailer/DAvXYkLNN7I|etc:h265/dvdhvbm96w24|dnv:VR5yWIBzWuA%3d|etv:77443
恶魔蛙男 2017,http://14tv.com/upload/2017-02-19/1d505e72-dc82-4b9a-9c79-ed71040e692a.jpg,etc:utb-Trailer/SprzkQWa_8w|etc:h265/1eazsn3qqbsc|dnv:Ixc%2bLgUR8h0%3d|etv:77365
Gantz (2016),http://www.solarmovie.fm/upload/movie/201702/gantz-o.jpg,etc:utb-Trailer/GUreI-H0lBA|zmv:gantz-o-2016|etc:estream/3bz75kx2ld36
Fist fight 2017,http://www.solarmovie.fm/upload/movie/201702/fist-fight.jpg,etc:utb-Trailer/6YVBj2o_3mg|etc:songs2dl/b91DFIG8WvHhT0A|etc:uptobox/okntbqgubcy7|etc:streamcloud/x7q7l1rinzx5|zmv:fist-fight-2017
John wick 2017,http://thedigitaltheater.com/wp-content/uploads/2016/10/john_wick_2.jpg,etc:utb-Trailer/XGk2EfbD_Ps|zmv:john-wick-chapter-2-2017|etc:songs2dl/vaTh6gfxbCd2vto|etc:uptostream/2c28csyc62nh|etc:streamcloud/l0pbw9zoj6ne|etc:ultimatedown/882ee883958232e1
John wick 2014,http://14tv.com/upload/video/201501151905260542784.jpg,etc:utb-Trailer/2AUmvWm5ZDQ|zmv:john-wick-2014|dnv:l2kAksSZ4aE%3d|etv:51482|etc:uptostream/nd9te9nw1qtw
xx 2017,https://i.imgur.com/9P6x8jk.jpg,etc:utb-Trailer/nzuFzGS-GnE|zmv:xx-2017|dnv:Sqc3iZPKeqE%3d|etv:77409
Contract to kill 2016,http://14tv.com/upload/2017-02-17/226f7593-7217-4aaa-8b8a-535d4021d7c3.jpg,etc:utb-Trailer/iaFDGWqOvGU|zmv:contract-to-kill-2016|dnv:iq4hFg1GMhk%3d|etv:77354
Come and find me 2016,http://www.shockya.com/news/wp-content/uploads/Come-and-Find-Me-Blu-ray.png,etc:utb-Trailer/KbSxeF4eW8I|dnv:%2fVJNnnGcLyQ%3d|zmv:come-and-find-me-2016
Rings 2017,https://image.tmdb.org/t/p/w185_and_h278_bestv2/bbxtz5V0vvnTDA2qWbiiRC77Ok9.jpg,etc:utb-Trailer/NFB4eZSVgBE|etc: uptostream/6d0cuz5787m8|zmv:rings-2017|flm:32525/Rings--2017--fkz|etc:upfiles/yz3evvp20x3g
Sleepless 2017,https://www.spacemov.net/wp-content/uploads/7xs95EFwrp0SaZxzhyNUygIFx1f.jpg,etc:utb-Trailer/LzWNDXwRbLY|zmv:sleepless-2017|etc:uptobox/fx4ij1785476
擺渡人 2017,http://14tv.com/upload/2017-02-14/e6372928-652e-464d-a4ac-3cd1cb8f2fa0.jpg,etc:utb-Trailer/Qr6xTp5z5ss|etc:estream-粵/dgiu53jif762|etc:vidto-粵/s7o1hkp0v92h|dnv:uec1Sddu6BM%3d|etv:77292
Underworld-Blood Wars (2016) ,http://images.losmovies.club/movie/underworld_blood_wars_2016.jpg,etc:utb-Trailer/xAsvDBSoNTw|dnv:DDcFduDakXY%3d|etv:77208|etc:songs2dl/2GJE3c9XFiaejbC|zmv:underworld-blood-wars-2016|lmv:tt96512/watch-online-underworld-blood-wars
Underworld (2012),http://14tv.com/upload/video/201202162314041482066.jpg,dnv:KvtnklF4A1Q%3d|etv:49577|zmv:underworld-awakening-2012
Underworld (2009),http://14tv.com/upload/video/200910102244194447180.jpg,dnv:zAX7Rsj2dR8%3d|etv:47107|zmv:underworld-rise-of-the-lycans
Underworld (2006),http://14tv.com/upload/video/200910102242174257076.jpg,dnv:Y0VvQ24jrZo%3d|etv:47106|zmv:underworld-evolution
Underworld (2003),http://14tv.com/upload/video/200910102240174036667.jpg,dnv:TThLrsU4Eo4%3d|etv:47105|zmv:underworld-2003
Therapy (2016),http://www.dreadcentral.com/wp-content/uploads/2016/11/therapy.jpg,etc:utb-Trailer/58ueVgFU39s|zmv:therapy-2016
乘风破浪,http://14tv.com/upload/2017-02-07/5478f5b9-f3e2-48f0-926e-51df898bfab0.jpg,etc:utb-Trailer/dO8ef3mwOvU|etv:77140|etc:vidto/s1snikt1h5ho|etc:estream/20442gtapp99|zmv:duckweed-2017
西游伏妖篇,http://14tv.com/upload/2017-02-04/fe28c8d0-c8a6-4807-a8ab-696d562c0bfd.jpg,etc:utb-Trailer/s6tDEhaCnro|zmv:journey-to-the-west-the-demons-strike-back-2017|etc:estream/xdfwafhjuwmr|etc:vidto/xw4nhvff7usp
大闹天竺 2017,http://14tv.com/upload/2017-02-04/fe44f5ad-4b2c-41c8-8ea4-b1db5602e5a5.jpg,etc:utb-Trailer/p49Yhj_1QVY|etc:vidto/gywjh2dqlwok|etc:estream/ar20wjnonnly|etv:77097
功夫瑜伽 2017,http://images.losmovies.club/movie/kungfu_yoga_2017.jpg,etc:utb-Trailer/nwFxRUWQ5GI|etc:vidto/1nskdid19lrm|etc:estream/5mutm049n4lb|zmv:kung-fu-yoga-2017|shd:7091|lmv:tt101169/watch-online-kungfu-yoga|flm:32529/Kung-Fu-Yoga--2017--fkz|etc:utb/mNDiM_FI_4w|etv:77098|etv:77101|etc:uptobox/jzbdskir78vl
偷天對決 2017,http://14tv.com/upload/2017-02-02/c8d9f8d8-e129-45cc-8444-ddfb61f29e56.jpg,etc:utb-Trailer/OQZ2ko8DvNw|dnv:Nej02xZL3RA%3d|etv:77066|zmv:master-2016
The Covenant (2017),http://images.losmovies.club/movie/the_covenant_2017.jpg,etc:utb-Trailer/j4HWVjIvCyc|zmv:the-covenant-2017|etc:songs2dl/1HU30VvKp3qTuBn
Don't Knock Twice 2017,http://images.losmovies.club/movie/dont_knock_twice_2016.jpg,etc:utb-Trailer/dCimEns0MMA|etc:songs2dl/b9b9gqyg9JAf7VT|zmv:dont-knock-twice-2016|flm:32460/Dont-Knock-Twice--2016--fkz
Patriots Day 2017,http://images.losmovies.club/movie/patriots_day_2016.jpg,etc:utb-Trailer/KJXqh2rDehg|shd:6444|zmv:patriots-day-2016
Live by night 2016,http://images.losmovies.club/movie/live_by_night_2016.jpg,etc:utb-Trailer/CtFZcAuH-qI|shd:6750|zmv:live-by-night-2016|lmv:tt97028/watch-online-live-by-night
Resident Evil-The Final Chapter (2016),http://images.losmovies.club/movie/resident_evil_the_final_chapter_2016.jpg,etc:utb-Trailer/79Sd4GtOXuI|shd:6944|zmv:resident-evil-the-final-chapter-2016|lmv:tt106568/watch-online-resident-evil-the-final-chapter|flm:32397/Resident-Evil--The-Final-Chapter--2016--fkz
Resident Evil -Retribution 2012,http://images.losmovies.club/movie/resident_evil_retribution_2012.jpg,shd:6929|lmv:tt1159/watch-online-resident-evil-retribution|zmv:resident-evil-retribution-2012
Resident Evil-AfterLife 2010,http://images.losmovies.club/movie/resident_evil_afterlife_2010.jpg,shd:6926|lmv:tt4593/watch-online-resident-evil-afterlife|zmv:resident-evil-afterlife-2010
Resident Evil-Extinction 2007,http://images.losmovies.club/movie/resident_evil_extinction_2007.jpg,lmv:tt9570/watch-online-resident-evil-extinction|shd:6836|zmv:resident-evil-extinction
Resident Evil-Apocalypse 2004,http://images.losmovies.club/movie/resident_evil_apocalypse_2004.jpg,lmv:tt13492/watch-online-resident-evil-apocalypse|shd:6834|zmv:resident-evil-apocalypse
Resident Evil 2002,http://images.losmovies.club/movie/resident_evil_2002.jpg,lmv:tt14811/watch-online-resident-evil|shd:6831
iBOY (2017),https://www.filmikz.ch/posters/323821485520146.jpg,etc:utb-Trailer/D34jem65EDA|zmv:iboy-2017|flm:32382/iBoy--2017--fkz
Allied 2016,http://images.losmovies.club/movie/allied_2016.jpg,etc:utb-Trailer/Jlp94-C31cY|shd:5731|zmv:allied-2016|dnv:CdRb%2f8910zs%3d
Hacksaw Ridge (2016),http://images.losmovies.club/movie/hacksaw_ridge_2016.jpg,etc:utb-Trailer/s2-1hz1juBI|dnv:a2gACGQ87JE%3d|shd:5290|lmv:tt95393/watch-online-hacksaw-ridge|zmv:hacksaw-ridge-2016
La la land 2017,http://images.losmovies.club/movie/la_la_land_2016.jpg,etc:utb-Trailer/0pdqf4P9MB8|shd:6414|zmv:la-la-land-2016|lmv:tt101364/watch-online-la-la-land
Hidden figure 2016,http://images.losmovies.club/movie/hidden_figures_2016.jpg,etc:utb-Trailer/RK8xHq6dfAo|shd:6449|zmv:hidden-figures-2016|lmv:tt101193/watch-online-hidden-figures
Manchester by the Sea (2016),http://t3.gstatic.com/images?q=tbn:ANd9GcS5-FlTo1iYdLeCeTN09lbE6seUjxO1jksMN8y5dpz3vJdRgFig,etc:utb-Trailer/NxQmuJnrjxg|shd:6655|zmv:manchester-by-the-sea-2016
Split 2017,http://i1.wp.com/image.tmdb.org/t/p/w600/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg,etc:utb-Trailer/l3gfyfPfKss|shd:6699|zmv:split-2016|flm:32368/Split--2016--fkz|etc:songs2dl/pDh3JRuDrGSbKGZ
Moana 2016,http://images.losmovies.club/movie/moana_2016.jpg,etc:utb-Trailer/iAmI1ExVqt4|shd:5587|lmv:tt96439/watch-online-moana|zmv:moana-2016
Doctor Strange (2016),http://images.losmovies.club/movie/doctor_strange_2016.jpg,etc:utb-Trailer/kNdM7b1Lm04|shd:4845|zmv:doctor-strange-2016|lmv:tt95015/watch-online-doctor-strange|etv:76020
Monster Trucks (2017),http://images.losmovies.club/movie/monster_trucks_2016.jpg,etc:utb-Trailer/nhJyI8tj4vU|zmv:monster-trucks-2016|shd:6663|lmv:tt104966/watch-online-monster-trucks
The Axe Murders of Villisca 2017,http://images.losmovies.club/movie/the_axe_murders_of_villisca_2016.jpg,etc:utb-Trailer/f3nbF855Sfc|zmv:the-axe-murders-of-villisca-2016|shd:6627
Dont Knock Twice (2016),http://efilmsworld.com/images/DontKnockTwice.jpg,etc:utb-Trailer/NtywDZPoux0|zmv:dont-knock-twice-2016
Silence 2016,http://images.losmovies.club/movie/silence_2016.jpg,etc:utb-Trailer/A0KUWzfugg4|shd:6636|zmv:silence-2016|flm:32319/Silence--2016--fkz|lmv:tt104289/watch-online-silence
xXx-Return of Xander Cage (2017),http://images.losmovies.club/movie/xxx_return_of_xander_cage_2017.jpg,etc:utb-Trailer/NPIczRe-zcs|zmv:xxx-return-of-xander-cage-2017|shd:6648|flm:32325/xXx--Return-of-Xander-Cage--2017--fkz|lmv:tt104576/watch-online-xxx-return-of-xander-cage
Pandora (2016),http://14tv.com/upload/2017-01-15/1ae07a5e-f95e-4235-b3da-cc09cbdc20dc.jpg,etc:utb-Trailer/pbjy_MWFAFE|dnv:7HRW4zztblU%3d|etv:76826
Lethal weapon 2017,http://images.losmovies.club/movie/lethal_weapon_2016.jpg,etc:utb-Trailer/KYh7kFnZYi4|shd:6598|lmv:tt92422/watch-online-lethal-weapon
A Monster Calls (2016),http://images.losmovies.club/movie/a_monster_calls_2016.jpg,etc:utb-Trailer/kXuXzmfEW_0|zmv:a-monster-calls-2016|lmv:tt101151/watch-online-a-monster-calls|shd:6585
The Age of Shadows (2016),http://images.losmovies.club/movie/the_age_of_shadows_2016.jpg,etc:utb-Trailer/Vx5fppDCTg4|zmv:the-age-of-shadows-2016|lmv:tt99474/watch-online-the-age-of-shadows
Arsenal (2017),https://www.filmikz.ch/posters/a0b4cf6752ee223b0c26543e5ac140d5.jpg,etc:utb-Trailer/vTabX1ONwRY|zmv:arsenal-2017|shd:6313|flm:32214/Arsenal--2017--fkz
The Great Wall (2016),https://upload.wikimedia.org/wikipedia/zh/3/35/The_Great_Wall_Poster.jpg,etc:utb-Trailer/avF6GHyyk5c|zmv:the-great-wall-2016|flm:32117/The-Great-Wall--2016--fkz|shd:6126|lmv:tt97319/watch-online-the-great-wall
凶手还未睡 2016,http://14tv.com/upload/2016-12-26/c199c210-445b-499f-a343-e3f11f31f7bf.jpg,etc:utb-Trailer/oOQcMdr0Ibw|zmv:nessun-dorma-2016|dnv:E%2bbVCB0SPXo%3d|etv:76490
Deepwater Horizon (2016),http://14tv.com/upload/2016-12-23/a041509c-34ff-4a1e-a616-d606a2ac9f49.jpg,etc:utb-Trailer/S-UPJyEHmM0|zmv:deepwater-horizon-2016|etv:76477|flm:30815/Deepwater-Horizon--2016--fkz|dnv:tOjoIMVtDtQ%3d|lmv:tt94023/watch-online-deepwater-horizon|shd:4263
FirstBorn (2016),https://www.filmikz.ch/posters/05ad415e4ea2a732e2e41cd8450207ac.jpg,etc:utb-Trailer/M4itLYW65uA|zmv:firstborn-2016|flm:32095/FirstBorn--2016--fkz
The Autopsy of Jane Doe (2016),http://images.losmovies.club/movie/the_autopsy_of_jane_doe_2016.jpg,etc:utb-預告/mtTAhXuiRTc|zmv:the-autopsy-of-jane-doe-2016|lmv:tt96719/watch-online-the-autopsy-of-jane-doe|etv:76535|dnv:onWedef6Qdw%3d
葉問4:李小龍,http://chinesemov.com/images/2017/Ip-Man-4-2017-1.jpg,etc:utb-預告/ijf3AW1dWPQ|etc:utb/f4EJcYKo0TQ
Rogue One: A Star Wars Story (2016),http://images.losmovies.club/movie/rogue_one_a_star_wars_story_2016.jpg,etc:utb-預告/sC9abcLLQpI|zmv:rogue-one-a-star-wars-story-2016|lmv:tt96684/watch-online-rogue-one-a-star-wars-story|flm:31969/Rogue-One--A-Star-Wars-Story--2016--fkz
Jack Reacher-Never Go Back (2016),http://images.losmovies.club/movie/jack_reacher_never_go_back_2016.jpg,zmv:jack-reacher-never-go-back-2016|lmv:tt94910/watch-online-jack-reacher-never-go-back|flm:31132/Jack-Reacher--Never-Go-Back--2016--fkz
The Hollow Point (2016),http://images.losmovies.club/movie/the_hollow_point_2016.jpg,etc:utb-預告/RQ895747WYA|zmv:the-hollow-point-2016|lmv:tt96648/watch-online-the-hollow-point|etv:76442
Kill Ratio (2016),http://images.losmovies.club/movie/kill_ratio_2016.jpg,etc:utb-預告/8W0V6jktB9k|zmv:kill-ratio-2016|lmv:tt96622/watch-online-kill-ratio
Kamikaze (2016),https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3OTY3MDQ3NDNeQTJeQWpwZ15BbWU4MDYzMDEyNTAy._V1_UY268_CR5%2C0%2C182%2C268_AL_.jpg,etc:utb-預告/1l2Ob0mokOw|zmv:kamikaze-2016
collide (2016),https://www.filmikz.ch/posters/319941483006035.jpg,etc:utb-預告/p7yt_t3nZKA|zmv:collide-2016|flm:31994/Collide--2016--fkz
The Summit of the Gods (2016),http://14tv.com/upload/2016-09-17/196a66e5-8eba-4966-bef4-ff1cfdd94d6c.jpg,etc:utb-預告/i85XAjx3MtQ|dnv:POuQOyDZ3Cc%3d|zmv:everest-the-summit-of-the-gods-2016|etv:74406
The Magnificent Seven (2016),http://images.losmovies.club/movie/the_magnificent_seven_2016.jpg,etc:utb-預告/deSRpSn8Pyk|zmv:the-magnificent-seven-2016|lmv:tt92584/watch-online-the-magnificent-seven|etv:76360|dnv:HqjX0hbyukI%3d
Riphagen (2016),http://images.losmovies.club/movie/riphagen_2016.jpg,etc:utb-預告/FgJ2yqq6wRY|zmv:riphagen-2016|lmv:tt96591/watch-online-riphagen
毛骨悚然 2016,http://14tv.com/upload/2016-11-06/e0ae4b41-675b-472b-a47a-8c061486516d.jpg,etc:utb-預告/o53Fs0UZRNc|dnv:cUMXCEziQVo%3d|etv:75983|zmv:creepy-2016
Spectral (2016),https://www.filmikz.ch/posters/d35bb5efd0e7e952228eb5b22b6b5b2c.jpg,etc:utb-預告/rmC3ZhIHHi4|zmv:spectral-2016|dnv:2x1n0PGrM8s%3d|etv:76342|lmv:tt96532/watch-online-spectral
导火新闻线 2016,http://14tv.com/upload/2016-12-12/b242444c-6ba0-4063-b637-d4abb8423f12.jpg,etc:utb-預告/Lo08rm0-cDc|zmv:the-menu-2016|dnv:w5kz8RiFJVU%3d|etv:76352
Call of Heroes (2016),http://14tv.com/upload/2016-09-15/bbd60e3a-b4a0-414f-8894-b7503458b901.jpg,etc:utb-預告/R3ifsyrKxxo|zmv:call-of-heroes-2016|etv:74374|dnv:LStuqJUUp%2fI%3d|etc:h265/i9dhzgcag7k0
Shut In (2016),https://www.filmikz.ch/posters/317031480443786.jpg,etc:utb-預告/fNFVofqqnUE|zmv:shut-in-2016-1
Max Steel (2016),https://www.filmikz.ch/posters/dc3307a08465f218cf3a817c32980b33.jpg,etc:utb-預告/OA41E8Ei_5U|zmv:max-steel-2016|lmv:tt96556/watch-online-max-steel|flm:31860/Max-Steel--2016--fkz
The Disappointments Room (2016),http://images.losmovies.club/movie/the_disappointments_room_2016.jpg,etc:utb-預告/O7a-hmoh6Jw|zmv:the-disappointments-room-2016|lmv:tt96540/watch-online-the-disappointments-room
暗色天堂 (2016),http://14tv.com/upload/2016-11-04/43c32268-21f1-48d2-859a-f2230c2a9d80.jpg,etc:utb-預告/So7TJlffFB4|etv:75967
王牌逗王牌 (2016),http://14tv.com/upload/2016-11-03/c3a7c0bd-b91e-4baa-a8ac-9b49dfde77c0.jpg,etc:utb-預告/XEeQuJluTLM|etv:75961
惊天破 (2016),http://14tv.com/upload/2016-10-23/cfc4d6d3-025f-4cc2-8edf-733cfd2e2685.jpg,zmv:heartfall-arises-2016|etv:75859
Sadako vs. Kayako,http://14tv.com/upload/2016-12-05/07ec47f2-22e2-409b-bb99-67eed4e39032.jpg,etc:utb-Trailer/pu7g5a40TYk|etc:utb/Pma035CwwRc|etv:76272|flm:32114/Sadako-v-Kayako--2016--fkz
S Storm (2016),http://images.losmovies.club/movie/s_storm_2016.jpg,zmv:s-storm-2016|lmv:tt96443/watch-online-s-storm|etv:75887
End of a Gun (2016),http://images.losmovies.club/movie/end_of_a_gun_2016.jpg,etc:utb/SUuRldRGGtY|lmv:tt92539/watch-online-end-of-a-gun|zmv:end-of-a-gun-2016
Shin Godzilla (2016),http://static.tvtropes.org/pmwiki/pub/images/shin_gojira.jpg,etc:utb-Trailer/F6BIrQPNo-8|zmv:shin-godzilla-2016
Morgan (2016),http://images.losmovies.club/movie/morgan_2016.jpg,etc:utb-Trailer/rqmHSR0bFU8|zmv:morgan-2016|lmv:tt91915/watch-online-morgan|etv:76258
Don't Breathe (2016),http://images.losmovies.club/movie/dont_breathe_2016.jpg,lmv:tt91911/watch-online-dont-breathe|zmv:dont-breathe-2016|etv:75778
Snowden (2016),http://images.losmovies.club/movie/snowden_2016.jpg,lmv:tt92543/watch-online-snowden|zmv:snowden-2016
Nocturnal Animals (2016) ,http://www.zmovie.tw/files/movies/nocturnal-animals-2016.jpg,zmv:nocturnal-animals-2016
